cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-126	ムーンアルミラージ	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	5	4	5	獣		"
【疾走】

【攻撃時】フォロワーへの攻撃なら、これは攻撃力+2する。

自分のエンドフェイズが来たとき、これは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-126
BP01-127	ジャンヌダルク	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	4	3	4	先導		"
進化コスト2：これは進化する。

ファンファーレ相手のフォロワーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-127
BP01-128	ジャンヌダルク	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		4	5	先導		"
【進化時】相手のフォロワーすべてに2ダメージ。自分の他のフォロワーすべては体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-128
BP01-129	アークビショップ・レリア	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	4	0	6	信仰		"
進化コスト1：これは進化する。

これがいる限り、自分のフォロワーは攻撃力ではなく体力と同じダメージを与える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-129
BP01-130	アークビショップ・レリア	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		0	6	信仰		"
これがいる限り、自分のフォロワーは攻撃力ではなく体力と同じダメージを与える。

自分のエンドフェイズが来たとき、これは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-130
BP01-131	テミスの審判	ビショップ		ブースターパック第1弾「創世の夜明け」	スペル	GR	5			信仰		"
フォロワーすべてを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-131
BP01-132	祈りの集約	ビショップ		ブースターパック第1弾「創世の夜明け」	スペル	GR	7			信仰		"
自分の墓場のコスト5以下のアミュレット3枚まで選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-132
BP01-133	聖なる願い	ビショップ		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	1			信仰		"
起動これをアクト墓場に置く：1枚引く。

起動コスト2これをアクト墓場に置く：2枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-133
BP01-134	教会の護り手	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	3	信仰		"
【守護】

これが受けるダメージを-1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-134
BP01-135	プリズムプリースト	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	1	1	1	信仰		"
進化コスト2：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-135
BP01-136	プリズムプリースト	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		2	2	信仰		"
【進化時】自分のデッキからアミュレット1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-136
BP01-137	クレリックランサー	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	4	1	5	信仰		"
【守護】

相手のターン中、これが与えるダメージを+4する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-137
BP01-138	シュラインナイトメイデン	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	5	5	5	信仰		"
【守護】【オーラ】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-138
BP01-139	漆黒の法典	ビショップ		ブースターパック第1弾「創世の夜明け」	スペル	SR	2			狂信		"
クイック

体力3以下の相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-139
BP01-140	ダークオファリング	ビショップ		ブースターパック第1弾「創世の夜明け」	スペル	SR	1			狂信		"
クイック

自分の場のカード1枚を選ぶ。それを破壊する。自分のリーダーは体力+3する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-140
BP01-141	神域の守護者	ビショップ		ブースターパック第1弾「創世の夜明け」	アミュレット	SR	5			信仰・獣		"
自分のターンごとに1回、自分の他のアミュレットが場を離れたとき、『ホーリータイガー』1体を出す。それは【守護】を持つ。

―――――――――――――――

『ホーリータイガー』ビショップ獣・フォロワーコスト4攻撃力4/体力4【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-141
BP01-142	残忍な修道女	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	4	3	3	狂信		"
ファンファーレ自分の墓場のコスト5以下のアミュレット1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-142
BP01-143	見習いシスター	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	3	2	信仰		"
ファンファーレ自分の場にアミュレットがあるなら、自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-143
BP01-144	マイニュ	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	2	狂信		"
進化コスト1：これは進化する。

【オーラ】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-144
BP01-145	マイニュ	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		3	3	狂信		"
【オーラ】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-145
BP01-146	スネークプリースト	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	1	3	狂信		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-146
BP01-147	大修道女	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	6	5	5	信仰		"
ファンファーレ自分のリーダーは体力+5する。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-147
BP01-148	気高き教理	ビショップ		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			信仰		"
クイック

自分のデッキの上5枚を見る。その中から、アミュレット1枚を公開して手札に加えてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-148
BP01-149	守護の陽光	ビショップ		ブースターパック第1弾「創世の夜明け」	アミュレット	BR	1			信仰		"
ファンファーレ自分のフォロワー1体を選ぶ。それは【守護】を持つ。

起動コスト2これをアクト墓場に置く：【守護】を持つ自分のフォロワー1体を選ぶ。それは攻撃力+2/体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-149
BP01-150	死の宣告	ビショップ		ブースターパック第1弾「創世の夜明け」	アミュレット	BR	3			狂信		"
これはアクト状態で場に出る。

起動これをアクト墓場に置く：相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-150
BP01-LD11	イリス	ビショップ		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD11
BP01-LD12	三日月の獣・ラミナ	ビショップ		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD12
BP01-T16	ホーリーファルコン	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	3	2	2	鳥族		"
【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T16
BP01-T17	ホーリータイガー	ビショップ		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	4	4	4	獣		"
【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T17
BP02-089	ヘヴンリーイージス	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	8	8	8	信仰・偶像		"
進化コスト2：これは進化する。

進化手札3枚を捨てる：これは進化する。

【オーラ】

これは能力によって破壊されない。（交戦か能力によるダメージでは破壊される）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-089
BP02-090	ヘヴンリーイージス	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		10	10	信仰・偶像		"
【オーラ】

これは能力によって破壊されない。

【進化時】このターンと次の相手のターン中、これはダメージを受けない。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-090
BP02-091	封じられし熾天使	ビショップ		ブースターパック第2弾「黒銀のバハムート」	アミュレット	LG	6			信仰・偶像		"
これは能力によって破壊されない。

自分のエンドフェイズが来たとき、これに祈りカウンター1つを置く。その後、祈りカウンターが4つ以上なら、これを墓場に置く。自分のリーダーは体力+10する。自分のデッキからカード2枚まで探し、EXエリアに置く。それをプレイする際、コストを0にする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-091
BP02-092	カグヤ	ビショップ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	5	4	4	信仰		"
進化コスト2：これは進化する。

自分の場にアミュレットが出たとき、相手のフォロワー1体を選ぶ。それにXダメージ。Xは「出たアミュレットのコスト」である。

ファンファーレ自分の手札のコスト3以下のアミュレット1枚を選ぶ。それを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-092
