cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-076	ダークドラグーン・フォルテ	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	4	5	1	竜使い		"
進化コスト2：これは進化する。

【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-076
BP01-077	ダークドラグーン・フォルテ	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		7	3	竜使い		"
【疾走】【オーラ】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-077
BP01-078	ジルニトラ	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	3	3	2	ドラゴニュート		"
ファンファーレ『ドラゴン』1枚をEXエリアに置く。

起動コスト2これをアクト：自分のEXエリアの『ドラゴン』1枚を選ぶ。それを場に出す。それは【突進】を持つ。【覚醒】状態なら、自分のPPを2回復する。

―――――――――――――――

『ドラゴン』ドラゴン竜族・フォロワーコスト4攻撃力5/体力5
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-078
BP01-079	ドラゴンナイト・アイラ	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	3	3	2	竜使い		"
【指定攻撃】

ラストワード自分のPP最大値を+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-079
BP01-080	ジェネシスドラゴン	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	9	10	12	竜族		"
【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-080
BP01-081	変化する魔術師	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	2	2	2	ドラゴニュート		"
進化コスト1：これは進化する。

ファンファーレ【覚醒】状態なら、これは攻撃力+3/体力+3する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-081
BP01-082	変化する魔術師	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		2	2	ドラゴニュート		"
【指定攻撃】【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-082
BP01-083	鳳凰の庭園	ドラゴン		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	5			不死鳥		"
各プレイヤーは、自身のメインフェイズが来たとき、デッキの上1枚を見る。その中から、フォロワー1枚を場に出してよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-083
BP01-084	騎竜兵	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	5	5	5	竜使い		"
ファンファーレ自分のデッキの上1枚をEXエリアに置く。それをプレイする際、コストを-2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-084
BP01-085	ドラゴニュートスカラー	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	2	2	2	ドラゴニュート		"
【威圧】

【攻撃時】1枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-085
BP01-086	神龍	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	5	4	5	竜族		"
進化コスト2：これは進化する。

【守護】

ファンファーレ2枚引く。自分の手札1枚を捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-086
BP01-087	神龍	ドラゴン		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		5	6	竜族		"
【守護】

【進化時】自分のリーダーは体力+5する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-087
