cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-151	ガブリエル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	6	4	3	天使		"
【守護】

ファンファーレ自分の他のフォロワー1体を選ぶ。それは攻撃力+4/体力+3して、【指定攻撃】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-151
BP01-152	ルシフェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	7	6	7	天使・堕天使		"
進化コスト0：これは進化する。

【守護】

自分のエンドフェイズが来たとき、自分のリーダーは体力+4する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-152
BP01-153	ルシフェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		8	7	天使・堕天使		"
【必殺】

自分のエンドフェイズが来たとき、相手のリーダーすべてに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-153
BP01-154	フラム＝グラス	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	10	7	7	魔王		"
【疾走】

【攻撃時】相手のフォロワーすべてに3ダメージ。自分の墓場に『ツインプリズナー・フラム』と『ツインプリズナー・グラス』があるなら、代わりに7ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-154
BP01-155	ウルズ	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	4	2	2	大神		"
進化コスト1：これは進化する。

ファンファーレ相手のフォロワー1体を選ぶ。それをEXエリアに置く。（EXエリアに置いたエボルヴフォロワーはゲームから取り除く）
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-155
BP01-156	ウルズ	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		3	3	大神		"
【進化時】相手のEXエリアのカード1枚を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-156
BP01-157	風神	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	4	1	5	大神		"
自分のエンドフェイズが来たとき、自分のフォロワーすべては攻撃力+1する。

ファンファーレ自分のフォロワー1体を選ぶ。それは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-157
BP01-158	ギルガメッシュ	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	7	6	6	大神		"
【疾走】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-158
BP01-159	ベルエンジェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	1	0	2	天使		"
進化コスト2：これは進化する。

【守護】

ラストワード1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-159
BP01-160	ベルエンジェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		0	2	天使		"
【守護】

【進化時】相手のフォロワー1体を選ぶ。それに2ダメージ。

ラストワード1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-160
BP01-161	新たなる運命	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	GR	2			大神		"
各プレイヤーは、手札すべてをデッキに戻し、シャッフルし、戻した枚数と同じだけ引く。自分は、さらに1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-161
BP01-162	冥府への道	ニュートラル		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	3			魔王		"
自分のエンドフェイズが来たとき、自分のリーダーの体力6以下なら、これをアクト墓場に置く：相手のフォロワーすべてに6ダメージ。

ファンファーレ3枚引く。自分のリーダーに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-162
BP01-163	リザードマン	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	4	3	傭兵		"
【指定攻撃】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-163
BP01-164	ゴブリンマウントデーモン	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	5	6	6	ゴブリン		"
進化コスト0：これは進化する。

【守護】

ファンファーレ自分の他のフォロワーすべてに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-164
BP01-165	ゴブリンマウントデーモン	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		7	7	ゴブリン		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-165
BP01-166	ツインプリズナー・フラム	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	2	悪魔		"
起動コスト1これと『ツインプリズナー・グラス』1体を墓場に置く：自分のデッキから『フラム＝グラス』1枚を探し、場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-166
BP01-167	ツインプリズナー・グラス	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	2	3	悪魔		"
ファンファーレ1枚引く。自分の手札1枚をデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-167
BP01-168	デモンストライク	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	SR	3			悪魔		"
相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-168
BP01-169	エクスキューション	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	SR	4			悪魔		"
クイック

相手の場のカード1枚を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-169
BP01-170	光の道筋	ニュートラル		ブースターパック第1弾「創世の夜明け」	スペル	SR	2			光輝		"
これを自分の手札から捨てたとき、1枚引く。

----------

1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-170
BP01-171	ゴブリン	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	2	2	ゴブリン		"
進化コスト4：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-171
BP01-172	ゴブリン	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		4	4	ゴブリン					https://shadowverse-evolve.com/cardlist/?cardno=BP01-172
BP01-173	ファイター	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	3	傭兵					https://shadowverse-evolve.com/cardlist/?cardno=BP01-173
BP01-174	ゴリアテ	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	3	4	巨人		"
進化コスト2：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-174
BP01-175	ゴリアテ	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		5	6	巨人					https://shadowverse-evolve.com/cardlist/?cardno=BP01-175
BP01-176	天剣の乙女	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	5	4	6	天使		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-176
BP01-177	ヒーリングエンジェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	2	4	天使		"
進化コスト1：これは進化する。

ファンファーレ自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-177
BP01-178	ヒーリングエンジェル	ニュートラル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		3	5	天使		"
【進化時】自分のリーダーは体力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-178
