cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-101	ケルベロス	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	4	3	3	魔界		"
進化コスト2：これは進化する。

ファンファーレ『ミミ』1枚か『ココ』1枚をEXエリアに置く。【ネクロチャージ_10】代わりに1枚ずつ置く。

―――――――――――――――

『ミミ』ナイトメア魔界・スペルコスト0相手のフォロワー1体を選ぶ。それに2ダメージ。

『ココ』ナイトメア魔界・スペルコスト0自分のフォロワー1体を選ぶ。それは攻撃力+2する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-101
BP01-102	ケルベロス	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		5	5	魔界		"
【進化時】『ミミ』『ココ』1枚ずつEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-102
BP01-103	骸の王	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	9	6	6	死者		"
これをプレイする際、場のスタンド状態のナイトメアカード4枚を墓場に置く、または、EXエリアのナイトメアカード4枚を消滅：コストを-9する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-103
BP01-104	メドゥーサ	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	6	6	6	魔界		"
これをプレイする際、【真紅】状態なら、コストを-1する。

これをプレイする際、【ネクロチャージ_10】コストを-1する。

【必殺】

起動これをアクト：相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-104
BP01-105	裁きの悪魔	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	4	2	4	魔界		"
進化リーダーの体力-3：これは進化する。

【必殺】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-105
BP01-106	裁きの悪魔	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		3	5	魔界		"
【指定攻撃】【必殺】

相手のフォロワーが破壊されたとき、それのリーダーに1ダメージ。自分のリーダーは体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-106
BP01-107	デュエリスト・モルディカイ	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	5	5	5	死者		"
ラストワードリーダーの体力-3：これを場に出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-107
BP01-108	漆黒の契約	ナイトメア		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	1			魔界		"
ファンファーレ自分のリーダーに1ダメージ。1枚引く。

起動コスト2これをアクト墓場に置く：自分のリーダーに1ダメージ。1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-108
BP01-109	地獄の解放者	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	2	2	2	魔界		"
起動これをアクト墓場に置く：自分の墓場のコスト3以上のフォロワー1枚を選ぶ。それを手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-109
BP01-110	狂気の処刑人	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	3	キラー		"
進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-110
BP01-111	狂気の処刑人	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		3	3	キラー		"
【進化時】自分のリーダーに2ダメージ。相手プレイヤー1人は手札を公開する。自分はその中から1枚を選ぶ。相手はそれを捨てる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-111
BP01-112	ダークサモナー	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	2	3	2	魔界		"
ファンファーレ【真紅】状態なら、これは攻撃力+1/体力+1して、【突進】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-112
BP01-113	ダークジェネラル	ナイトメア		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	4	5	5	魔界		"
ファンファーレ【真紅】状態なら、これは【疾走】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-113
BP01-114	ファントムハウル	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル	SR	3			死者		"
『ゴースト』4体を出す。

―――――――――――――――

『ゴースト』ナイトメア死者・フォロワーコスト1攻撃力1/体力1【疾走】自分のエンドフェイズが来たとき、これは消滅する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-114
BP01-115	死の祝福	ナイトメア		ブースターパック第1弾「創世の夜明け」	スペル	SR	6			死者		"
自分の墓場のコスト8以下のフォロワー1枚を選ぶ。それを場に出す。それは【守護】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-115
