cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-026	海底都市王・乙姫	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	4	3	4	指揮官・プリンセス		"
進化コスト2：これは進化する。

ファンファーレ『乙姫お守り隊』1体を出す。

―――――――――――――――

『乙姫お守り隊』ロイヤル兵士・フォロワーコスト1攻撃力1/体力2【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-026
BP01-027	海底都市王・乙姫	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		4	5	指揮官・プリンセス		"
【進化時】『乙姫お守り隊』3枚を、場が上限になるまで出す。残りをEXエリアに置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-027
BP01-028	ロイヤルセイバー・オーレリア	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	5	4	6	指揮官・プリンセス		"
【突進】【指定攻撃】【守護】

ファンファーレ相手のリーダー1人を選ぶ。それの場のカードが3枚以上なら、これは攻撃力+2/体力+2して、【オーラ】を持つ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-028
BP01-029	闇を纏う暗殺者	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	4	4	4	暗殺者		"
進化コスト2：これは進化する。

ファンファーレ相手のフォロワー1体を選ぶ。それをアクトする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-029
BP01-030	闇を纏う暗殺者	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		5	5	暗殺者		"
【進化時】アクト状態の相手のフォロワー1体を選ぶ。それを破壊する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-030
BP01-031	フロントガードジェネラル	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	7	6	8	指揮官		"
【守護】

ラストワード『スティールナイト』2体を出す。それは【守護】を持つ。それを好きな枚数アクトしてよい。

―――――――――――――――

『スティールナイト』ロイヤル兵士・フォロワーコスト2攻撃力2/体力2
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-031
BP01-032	アルビダの号令	ロイヤル		ブースターパック第1弾「創世の夜明け」	スペル	GR	5			盗賊		"
『ヴァイキング』1体と『スティールナイト』1体と『ナイト』1体を出す。

―――――――――――――――

『ヴァイキング』ロイヤル盗賊・フォロワーコスト3攻撃力3/体力2【疾走】

『スティールナイト』ロイヤル兵士・フォロワーコスト2攻撃力2/体力2

『ナイト』ロイヤル兵士・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-032
BP01-033	王家の御旗	ロイヤル		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	4			指揮官		"
自分の場にロイヤルフォロワーが出たとき、それは攻撃力+1/体力+1する。

ファンファーレ自分のロイヤルフォロワーすべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-033
BP01-034	メイドリーダー	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	1	1	1	兵士・メイド		"
進化コスト2：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-034
BP01-035	メイドリーダー	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		2	2	兵士・メイド		"
【進化時】自分のデッキから進化を持つフォロワー1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-035
BP01-036	宝杖の司令官	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	2	指揮官		"
ファンファーレ自分のデッキからロイヤルフォロワー1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-036
BP01-037	セージコマンダー	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	5	5	5	指揮官		"
ファンファーレ自分の他のフォロワーすべては攻撃力+1/体力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-037
BP01-038	剣豪	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	1	2	1	兵士		"
ファンファーレ相手のフォロワー1体を選ぶ。それをアクトする。

起動これをアクト：相手のフォロワー1体を選ぶ。それをアクトする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-038
BP01-039	わがままプリンセス	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	3	指揮官・プリンセス		"
ファンファーレ自分のデッキの上5枚を見る。その中から、コスト1のフォロワー1枚を場に出してよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-039
BP01-040	ニンジャマスター	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	4	4	4	兵士・忍者		"
ファンファーレ自分のデッキから忍者・カード1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-040
BP01-041	騎士王の威光	ロイヤル		ブースターパック第1弾「創世の夜明け」	アミュレット	SR	2			指揮官		"
起動コスト1これをアクト：『ナイト』1体を出す。それは【疾走】を持つ。

起動コスト2これをアクト：相手のフォロワー1体を選ぶ。それをアクトする。

起動コスト3これをアクト：1枚引く。

―――――――――――――――

『ナイト』ロイヤル兵士・フォロワーコスト1攻撃力1/体力1
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-041
BP01-042	ニンジャエッグ	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	1	2	2	兵士・忍者					https://shadowverse-evolve.com/cardlist/?cardno=BP01-042
BP01-043	不屈の兵士	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	2	兵士		"
進化コスト2：これは進化する。

自分の場に他のフォロワーが出たとき、これは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-043
BP01-044	不屈の兵士	ロイヤル		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		4	4	兵士		"
自分の場に他のフォロワーが出たとき、これは攻撃力+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-044
