cardno	name	class	title	expansion	kind	rarity	cost	power	hp	type	keywords	ability	illustrator	image_url	url
BP01-051	アークサモナー・エラスムス	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	7	6	8	魔法使い		"
ファンファーレ【土の秘術】相手のフォロワー1体を選ぶ。それに6ダメージ。それのリーダーに2ダメージ。

起動これをアクト【土の秘術】：相手のフォロワー1体を選ぶ。それに6ダメージ。それのリーダーに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-051
BP01-052	マーリン	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	LG	3	3	2	魔法使い		"
進化コスト2：これは進化する。

ファンファーレ自分のデッキからスペル1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-052
BP01-053	マーリン	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	LG		4	3	魔法使い		"
【進化時】自分の墓場のコスト3以下のスペル1枚を選ぶ。それのコストを0にしてプレイする。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-053
BP01-054	エンシェントアルケミスト	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	GR	3	2	5	錬金術師		"
進化コスト3：これは進化する。

ファンファーレ【土の秘術】『防御型ゴーレム』2枚をEXエリアに置く。

―――――――――――――――

『防御型ゴーレム』ウィッチゴーレム・フォロワーコスト2攻撃力2/体力3【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-054
BP01-055	エンシェントアルケミスト	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	GR		3	6	錬金術師		"
これがいる限り、自分がゴーレム・フォロワーをプレイするコストを-1する。

自分の場にゴーレム・フォロワーが出たとき、相手のリーダー1人か相手のフォロワー1体を選ぶ。それに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-055
BP01-056	神秘の獲得	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	GR	4			魔法使い		"
クイック

自分のデッキの上1枚をEXエリアに置く。これをEXエリアが上限になるまでくり返す。

次に自分のエンドフェイズが来たとき、自分のEXエリアのカードすべてを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-056
BP01-057	次元の超越	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	GR	12			魔法使い		"
これをプレイする際、墓場のスペル10枚を消滅：コストを7にする。

このターンのあと、自分の追加ターンを行う。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-057
BP01-058	ノノの秘密研究室	ウィッチ		ブースターパック第1弾「創世の夜明け」	アミュレット	GR	5			錬金術師		"
ファンファーレ『防御型ゴーレム』1体か『攻撃型ゴーレム』1体を出す。

起動これをアクト：『大地の魔片』1つを出す。

起動これをアクト【土の秘術】：『防御型ゴーレム』1体か『攻撃型ゴーレム』1体を出す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-058
BP01-059	スペクトラルウィザード	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	2	2	2	魔法使い		"
進化コスト2：これは進化する。

ファンファーレ自分のデッキの上1枚を見る。その中から、スペル1枚を公開して手札に加えてよい。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-059
BP01-060	スペクトラルウィザード	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	SR		3	3	魔法使い		"
【進化時】手札のスペル1枚を捨てる：相手のフォロワー1体を選ぶ。それに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-060
BP01-061	フレイムデストロイヤー	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	9	7	7	魔法生物		"
これをプレイする際、【スペルチェイン_5】コストを-3する。【SC_10】代わりに-6する。【SC_15】代わりに-9する。

【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-061
BP01-062	ドラゴンメイジ	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	SR	3	3	4	魔法使い		"
自分がスペルをプレイしたとき、これにスペルカウンター1つを置く。

起動これのスペルカウンター3つを取る：相手のフォロワー1体を選ぶ。それに5ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-062
BP01-063	ゴーレムプロテクション	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	SR	4			錬金術師		"
『防御型ゴーレム』2体を出す。

【土の秘術】自分のゴーレム・フォロワーすべては攻撃力+1/体力+1する。

―――――――――――――――

『防御型ゴーレム』ウィッチゴーレム・フォロワーコスト2攻撃力2/体力3【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-063
BP01-064	アルケミックロア	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	SR	5			魔法使い		"
相手のフォロワーすべてに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-064
BP01-065	運命の導き	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	SR	3			魔法使い		"
クイック

2枚引く。【スペルチェイン_10】自分のPPを1回復する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-065
BP01-066	錬金術の代償	ウィッチ		ブースターパック第1弾「創世の夜明け」	アミュレット	SR	3			土の印		"
【スタック】

ファンファーレ体力4以下の相手のフォロワー1体を選ぶ。それを消滅させる。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-066
BP01-067	ルーンガーディアン	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	3	3	4	錬金術師		"
【守護】

ファンファーレ下記から1つチョイスする。【1】【土の秘術】これは攻撃力+1/体力+2する。【2】『大地の魔片』1つを出す。

―――――――――――――――

『大地の魔片』ウィッチ土の印・アミュレットコスト1【スタック】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-067
BP01-068	クラフトウォーロック	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	2	2	2	錬金術師		"
進化コスト1：これは進化する。

ラストワード『大地の魔片』1つを出す。

―――――――――――――――

『大地の魔片』ウィッチ土の印・アミュレットコスト1【スタック】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-068
BP01-069	クラフトウォーロック	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・エボルヴ	BR		3	3	錬金術師		"
ラストワード『大地の魔片』1つを出す。自分の場の【スタック】を+1する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-069
BP01-070	ライトニングシューター	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー	BR	4	3	3	魔法使い		"
ファンファーレ相手のフォロワー1体を選ぶ。それに2ダメージ。【スペルチェイン_5】代わりに4ダメージ。【SC_10】それのリーダーに2ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-070
BP01-071	ウィンドブラスト	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	BR	1			魔法使い		"
相手のフォロワー1体を選ぶ。それに2ダメージ。【スペルチェイン_10】代わりに4ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-071
BP01-072	魔力の蓄積	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	BR	2			魔法使い		"
クイック

自分のデッキの上4枚を見る。その中から、スペル1枚を公開して手札に加えてよい。スペル1枚を墓場に置いてよい。残りを好きな順にデッキの下に置く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-072
BP01-073	炎の握撃	ウィッチ		ブースターパック第1弾「創世の夜明け」	スペル	BR	4			魔法使い		"
クイック

相手のフォロワー1体を選ぶ。それを破壊する。【スペルチェイン_10】それのリーダーに3ダメージ。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-073
BP01-074	錬金工房	ウィッチ		ブースターパック第1弾「創世の夜明け」	アミュレット	BR	2			土の印		"
【スタック】

ファンファーレ『攻撃型ゴーレム』1体を出す。

―――――――――――――――

『攻撃型ゴーレム』ウィッチゴーレム・フォロワーコスト2攻撃力3/体力2【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-074
BP01-075	雄大なる教え	ウィッチ		ブースターパック第1弾「創世の夜明け」	アミュレット	BR	1			土の印		"
【スタック】

ファンファーレ1枚引く。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-075
BP01-LD05	イザベル	ウィッチ		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD05
BP01-LD06	魔力の賢人・エラスムス	ウィッチ		ブースターパック第1弾「創世の夜明け」	リーダー	-				-					https://shadowverse-evolve.com/cardlist/?cardno=BP01-LD06
BP01-T08	攻撃型ゴーレム	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	2	3	2	ゴーレム		"
【突進】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T08
BP01-T09	防御型ゴーレム	ウィッチ		ブースターパック第1弾「創世の夜明け」	フォロワー・トークン	-	2	2	3	ゴーレム		"
【守護】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T09
BP01-T10	大地の魔片	ウィッチ		ブースターパック第1弾「創世の夜明け」	アミュレット・トークン	-	1			土の印		"
【スタック】（【スタック】を持つアミュレットは、スタックカウンター1つを置いた状態で場に出て、下記の能力を持つ）

これが場を離れるとき、代わりにこれのスタックカウンター1つを取る。

これのスタックカウンターが0になったとき、これを破壊する。

起動これをアクト：自分の他の【スタック】を持つアミュレット1つを選ぶ。それにこれのスタックカウンターすべてを移す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP01-T10
BP02-035	次元の魔女・ドロシー	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	6	5	5	魔法使い		"
進化コスト1：これは進化する。

これがいる限り、自分の【スペルチェイン】を数える際、自分の墓場のスペルとウィッチフォロワーの合計を数える。

ファンファーレ自分の手札すべてを捨てる。自分のデッキの上1枚をEXエリアに置く。これをEXエリアが上限になるまでくり返す。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-035
BP02-036	次元の魔女・ドロシー	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	LG		6	6	魔法使い		"
これがいる限り、自分の【スペルチェイン】を数える際、自分の墓場のスペルとウィッチフォロワーの合計を数える。

【進化時】自分のEXエリアのフォロワー1枚を選ぶ。このターン、それをプレイする際、コストを-5する。

【進化時】自分のEXエリアのスペル1枚を選ぶ。このターン、それをプレイする際、コストを-5する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-036
BP02-037	太陽の巫女・パメラ	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	LG	4	3	5	魔法使い・ダンサー		"
ファンファーレ『大地の魔片』1つを出す。

Q起動これをアクト【土の秘術】：相手のフォロワー1体を選ぶ。それは攻撃力-2/体力-2する。

Q起動これをアクト【土の秘術】：自分の他のフォロワー1体を選ぶ。それは攻撃力+2/体力+2する。

―――――――――――――――

『大地の魔片』ウィッチ土の印・アミュレットコスト1【スタック】
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-037
BP02-038	プリンセスマナリア・アン	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー	GR	4	4	5	魔法使い・学院・プリンセス		"
これをプレイする際、自分の場に『マナリアドラコ・グレア』がいるなら、コストを-2する。

進化コスト1：これは進化する。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-038
BP02-039	プリンセスマナリア・アン	ウィッチ		ブースターパック第2弾「黒銀のバハムート」	フォロワー・エボルヴ	GR		4	5	魔法使い・学院・プリンセス		"
【進化時】自分のデッキから「これと同名を除く学院・フォロワー」1枚を探し、手札に加える。
"			https://shadowverse-evolve.com/cardlist/?cardno=BP02-039
